 time     v(/vam)  v(/iam)  v(/vdc)  v(/idc)  v(/vexp) v(/iexp) v(/vpulse) v(/ipulse) v(/vpwl) v(/ipwl) v(/vsffm) v(/isffm) v(/vsin) v(/isin)
 4.6e-08  9.5e-01 -9.5e+03  2.3e+00 -2.3e+04 -1.7e+00  1.7e+04  1.0e+00 -1.0e+04 -7.0e+00  7.0e+04 -6.0e+00  6.0e+04 -4.6e-210  3.7e-206 
 4.7e-08  8.1e-01 -8.1e+03  2.3e+00 -2.3e+04 -1.7e+00  1.7e+04  1.0e+00 -1.0e+04 -7.0e+00  7.0e+04 -5.8e+00  5.8e+04 -9.9e-201  9.9e-197 
 4.8e-08  5.8e-01 -5.8e+03  2.3e+00 -2.3e+04 -1.6e+00  1.6e+04  1.0e+00 -1.0e+04 -7.0e+00  7.0e+04 -5.6e+00  5.6e+04 -7.2e-205  7.2e-201 
 4.9e-08  3.0e-01 -3.0e+03  2.3e+00 -2.3e+04 -1.6e+00  1.6e+04  1.0e+00 -1.0e+04 -7.0e+00  7.0e+04 -5.3e+00  5.3e+04 -3.3e-209  3.3e-205 
 5.0e-08 -1.2e-14  8.7e-11  2.3e+00 -2.3e+04 -1.6e+00  1.6e+04  1.0e+00 -1.0e+04 -7.0e+00  7.0e+04 -5.0e+00  5.0e+04 -9.2e-214  9.2e-210 
 5.1e-08 -3.0e-01  3.0e+03  2.3e+00 -2.3e+04 -1.6e+00  1.6e+04  1.0e+00 -1.0e+04 -3.0e+00  3.0e+04 -4.7e+00  4.7e+04  1.3e-231 -1.3e-227 
 5.2e-08 -5.6e-01  5.6e+03  2.3e+00 -2.3e+04 -1.6e+00  1.6e+04  1.0e+00 -1.0e+04 -3.0e+00  3.0e+04 -4.4e+00  4.4e+04  1.9e-222 -1.9e-218 
 5.3e-08 -7.6e-01  7.6e+03  2.3e+00 -2.3e+04 -1.5e+00  1.5e+04  1.0e+00 -1.0e+04 -3.0e+00  3.0e+04 -4.2e+00  4.2e+04  1.4e-226 -1.4e-222 
 5.4e-08 -8.8e-01  8.8e+03  2.3e+00 -2.3e+04 -1.5e+00  1.5e+04  1.0e+00 -1.0e+04 -3.1e+00  3.1e+04 -4.0e+00  4.0e+04  6.3e-231 -6.3e-227 
 5.5e-08 -9.0e-01  9.0e+03  2.3e+00 -2.3e+04 -1.5e+00  1.5e+04  1.0e+00 -1.0e+04 -3.1e+00  3.1e+04 -4.0e+00  4.0e+04  1.8e-235 -1.8e-231 
 5.6e-08 -8.4e-01  8.4e+03  2.3e+00 -2.3e+04 -1.5e+00  1.5e+04  1.0e+00 -1.0e+04 -3.1e+00  3.1e+04 -4.1e+00  4.1e+04 -2.4e-253  1.1e-249 
 5.7e-08 -7.0e-01  7.0e+03  2.3e+00 -2.3e+04 -1.5e+00  1.5e+04  1.0e+00 -1.0e+04 -3.1e+00  3.1e+04 -4.2e+00  4.2e+04 -3.7e-244  3.7e-240 
 5.8e-08 -5.0e-01  5.0e+03  2.3e+00 -2.3e+04 -1.5e+00  1.5e+04  1.0e+00 -1.0e+04 -3.2e+00  3.2e+04 -4.5e+00  4.5e+04 -2.7e-248  2.7e-244 
 5.9e-08 -2.5e-01  2.5e+03  2.3e+00 -2.3e+04 -1.4e+00  1.4e+04  1.0e+00 -1.0e+04 -3.2e+00  3.2e+04 -4.8e+00  4.8e+04 -1.2e-252  1.2e-248 
 6.0e-08  1.4e-14 -1.5e-10  2.3e+00 -2.3e+04 -1.4e+00  1.4e+04  1.0e+00 -1.0e+04 -3.2e+00  3.2e+04 -5.2e+00  5.2e+04 -3.4e-257  3.4e-253 
 6.1e-08  2.4e-01 -2.4e+03  2.3e+00 -2.3e+04 -1.5e+00  1.5e+04  1.0e+00 -1.0e+04 -3.2e+00  3.2e+04 -5.6e+00  5.6e+04  7.2e-275 -7.1e-271 
 6.2e-08  4.4e-01 -4.4e+03  2.3e+00 -2.3e+04 -1.6e+00  1.6e+04  1.0e+00 -1.0e+04 -3.2e+00  3.2e+04 -5.8e+00  5.8e+04  7.1e-266 -7.1e-262 
 6.3e-08  5.8e-01 -5.8e+03  2.3e+00 -2.3e+04 -1.6e+00  1.6e+04  1.0e+00 -1.0e+04 -3.3e+00  3.3e+04 -6.0e+00  6.0e+04  5.2e-270 -5.2e-266 
 6.4e-08  6.5e-01 -6.5e+03  2.3e+00 -2.3e+04 -1.7e+00  1.7e+04  1.0e+00 -1.0e+04 -3.3e+00  3.3e+04 -6.0e+00  6.0e+04  2.4e-274 -2.4e-270 
 6.5e-08  6.5e-01 -6.5e+03  2.3e+00 -2.3e+04 -1.7e+00  1.7e+04  1.0e+00 -1.0e+04 -3.3e+00  3.3e+04 -5.8e+00  5.8e+04  6.6e-279 -6.6e-275 
 6.6e-08  5.9e-01 -5.9e+03  2.3e+00 -2.3e+04 -1.8e+00  1.8e+04  1.0e+00 -1.0e+04 -3.3e+00  3.3e+04 -5.4e+00  5.4e+04 -9.2e-297  1.0e-292 
 6.7e-08  4.8e-01 -4.8e+03  2.3e+00 -2.3e+04 -1.8e+00  1.8e+04  1.0e+00 -1.0e+04 -3.3e+00  3.3e+04 -5.0e+00  5.0e+04 -1.4e-287  1.4e-283 
 6.8e-08  3.3e-01 -3.3e+03  2.3e+00 -2.3e+04 -1.9e+00  1.9e+04  1.0e+00 -1.0e+04 -3.4e+00  3.4e+04 -4.5e+00  4.5e+04 -1.0e-291  1.0e-287 
 6.9e-08  1.6e-01 -1.6e+03  2.3e+00 -2.3e+04 -1.9e+00  1.9e+04  1.0e+00 -1.0e+04 -3.4e+00  3.4e+04 -4.2e+00  4.2e+04 -4.5e-296  4.5e-292 
 7.0e-08 -1.8e-15  2.9e-11  2.3e+00 -2.3e+04 -2.0e+00  2.0e+04  1.0e+00 -1.0e+04 -3.4e+00  3.4e+04 -4.0e+00  4.0e+04 -1.3e-300  1.3e-296 
 7.1e-08 -1.4e-01  1.4e+03  2.3e+00 -2.3e+04 -2.0e+00  2.0e+04  1.0e+00 -1.0e+04 -3.4e+00  3.4e+04 -4.1e+00  4.1e+04  6.9e-314  4.2e-314 
 7.2e-08 -2.6e-01  2.6e+03  2.3e+00 -2.3e+04 -2.1e+00  2.1e+04  1.0e+00 -1.0e+04 -3.5e+00  3.5e+04 -4.5e+00  4.5e+04  2.6e-309 -2.6e-305 
 7.3e-08 -3.3e-01  3.3e+03  2.3e+00 -2.3e+04 -2.1e+00  2.1e+04  1.0e+00 -1.0e+04 -3.5e+00  3.5e+04 -5.1e+00  5.1e+04  1.9e-313 -1.9e-309 
 7.4e-08 -3.6e-01  3.6e+03  2.3e+00 -2.3e+04 -2.2e+00  2.2e+04  1.0e+00 -1.0e+04 -3.5e+00  3.5e+04 -5.6e+00  5.6e+04 -2.2e-315 -9.3e-314 
 7.5e-08 -3.5e-01  3.5e+03  2.3e+00 -2.3e+04 -2.2e+00  2.2e+04  1.0e+00 -1.0e+04 -3.5e+00  3.5e+04 -6.0e+00  6.0e+04 -8.1e-319  8.1e-315 
 7.6e-08 -3.0e-01  3.0e+03  2.3e+00 -2.3e+04 -2.2e+00  2.2e+04  1.0e+00 -1.0e+04 -3.5e+00  3.5e+04 -5.9e+00  5.9e+04  0.0e+00  0.0e+00 
 7.7e-08 -2.3e-01  2.3e+03  2.3e+00 -2.3e+04 -2.3e+00  2.3e+04  1.0e+00 -1.0e+04 -3.6e+00  3.6e+04 -5.5e+00  5.5e+04  0.0e+00  0.0e+00 
 7.8e-08 -1.5e-01  1.5e+03  2.3e+00 -2.3e+04 -2.3e+00  2.3e+04  1.0e+00 -1.0e+04 -3.6e+00  3.6e+04 -4.9e+00  4.9e+04  0.0e+00  0.0e+00 
 7.9e-08 -7.2e-02  7.2e+02  2.3e+00 -2.3e+04 -2.4e+00  2.4e+04  1.0e+00 -1.0e+04 -3.6e+00  3.6e+04 -4.3e+00  4.3e+04  0.0e+00  0.0e+00 
 8.0e-08 -1.8e-15  1.5e-11  2.3e+00 -2.3e+04 -2.4e+00  2.4e+04  1.0e+00 -1.0e+04 -3.6e+00  3.6e+04 -4.0e+00  4.0e+04  0.0e+00  0.0e+00 
 8.1e-08  5.6e-02 -5.6e+02  2.3e+00 -2.3e+04 -2.4e+00  2.4e+04  1.0e+00 -1.0e+04 -3.7e+00  3.7e+04 -4.2e+00  4.2e+04  0.0e+00  0.0e+00 
 8.2e-08  9.3e-02 -9.3e+02  2.3e+00 -2.3e+04 -2.5e+00  2.5e+04  1.0e+00 -1.0e+04 -3.7e+00  3.7e+04 -4.9e+00  4.9e+04  0.0e+00  0.0e+00 
 8.3e-08  1.1e-01 -1.1e+03  2.3e+00 -2.3e+04 -2.5e+00  2.5e+04  5.7e-14 -4.7e-10 -3.7e+00  3.7e+04 -5.6e+00  5.6e+04  0.0e+00  0.0e+00 
 8.4e-08  1.1e-01 -1.1e+03  2.3e+00 -2.3e+04 -2.5e+00  2.5e+04 -1.0e+00  1.0e+04 -3.7e+00  3.7e+04 -6.0e+00  6.0e+04  0.0e+00  0.0e+00 
 8.5e-08  9.5e-02 -9.5e+02  2.3e+00 -2.3e+04 -2.6e+00  2.6e+04 -1.0e+00  1.0e+04 -3.7e+00  3.7e+04 -5.8e+00  5.8e+04  0.0e+00  0.0e+00 
 8.6e-08  7.4e-02 -7.4e+02  2.3e+00 -2.3e+04 -2.6e+00  2.6e+04 -1.0e+00  1.0e+04 -3.8e+00  3.8e+04 -5.1e+00  5.1e+04  0.0e+00  0.0e+00 
 8.7e-08  5.0e-02 -5.0e+02  2.3e+00 -2.3e+04 -2.6e+00  2.6e+04 -1.0e+00  1.0e+04 -3.8e+00  3.8e+04 -4.3e+00  4.3e+04  0.0e+00  0.0e+00 
 8.8e-08  2.8e-02 -2.8e+02  2.3e+00 -2.3e+04 -2.7e+00  2.7e+04 -1.0e+00  1.0e+04 -3.8e+00  3.8e+04 -4.0e+00  4.0e+04  0.0e+00  0.0e+00 
 8.9e-08  1.1e-02 -1.1e+02  2.3e+00 -2.3e+04 -2.7e+00  2.7e+04 -1.0e+00  1.0e+04 -3.8e+00  3.8e+04 -4.4e+00  4.4e+04  0.0e+00  0.0e+00 
 9.0e-08  4.4e-16 -6.4e-12  2.3e+00 -2.3e+04 -2.7e+00  2.7e+04 -1.0e+00  1.0e+04 -3.8e+00  3.8e+04 -5.2e+00  5.2e+04  0.0e+00  0.0e+00 
 9.1e-08 -4.9e-03  4.9e+01  2.3e+00 -2.3e+04 -2.8e+00  2.8e+04 -1.0e+00  1.0e+04 -3.9e+00  3.9e+04 -5.9e+00  5.9e+04  0.0e+00  0.0e+00 
 9.2e-08 -5.2e-03  5.2e+01  2.3e+00 -2.3e+04 -2.8e+00  2.8e+04 -1.0e+00  1.0e+04 -3.9e+00  3.9e+04 -5.9e+00  5.9e+04  0.0e+00  0.0e+00 
 9.3e-08 -3.2e-03  3.2e+01  2.3e+00 -2.3e+04 -2.8e+00  2.8e+04 -1.0e+00  1.0e+04 -3.9e+00  3.9e+04 -5.2e+00  5.2e+04  0.0e+00  0.0e+00 
 9.4e-08 -9.4e-04  9.4e+00  2.3e+00 -2.3e+04 -2.9e+00  2.9e+04 -1.0e+00  1.0e+04 -3.9e+00  3.9e+04 -4.4e+00  4.4e+04  0.0e+00  0.0e+00 
 9.5e-08 -2.1e-17  2.0e-13  2.3e+00 -2.3e+04 -2.9e+00  2.9e+04 -1.0e+00  1.0e+04 -4.0e+00  4.0e+04 -4.0e+00  4.0e+04  0.0e+00  0.0e+00 
 9.6e-08 -9.4e-04  9.4e+00  2.3e+00 -2.3e+04 -2.9e+00  2.9e+04 -1.0e+00  1.0e+04 -4.0e+00  4.0e+04 -4.4e+00  4.4e+04  0.0e+00  0.0e+00 
 9.7e-08 -3.2e-03  3.2e+01  2.3e+00 -2.3e+04 -2.9e+00  2.9e+04 -1.0e+00  1.0e+04 -4.0e+00  4.0e+04 -5.3e+00  5.3e+04  0.0e+00  0.0e+00 
 9.8e-08 -5.2e-03  5.2e+01  2.3e+00 -2.3e+04 -3.0e+00  3.0e+04 -1.0e+00  1.0e+04 -4.0e+00  4.0e+04 -6.0e+00  6.0e+04  0.0e+00  0.0e+00 
 9.9e-08 -4.9e-03  4.9e+01  2.3e+00 -2.3e+04 -3.0e+00  3.0e+04 -1.0e+00  1.0e+04 -4.1e+00  4.1e+04 -5.8e+00  5.8e+04  0.0e+00  0.0e+00 
 1.0e-07 -8.9e-16  9.1e-12  2.3e+00 -2.3e+04 -3.0e+00  3.0e+04 -1.0e+00  1.0e+04 -4.1e+00  4.1e+04 -5.0e+00  5.0e+04  0.0e+00  0.0e+00 
