 time     v(/out) 
 3.2e-09  3.2e-02 
 3.2e-09  3.2e-02 
 3.3e-09  3.2e-02 
 3.3e-09  3.2e-02 
 3.3e-09  3.2e-02 
 3.3e-09  3.2e-02 
 3.3e-09  3.2e-02 
 3.3e-09  3.2e-02 
 3.3e-09  3.2e-02 
 3.3e-09  3.2e-02 
 3.3e-09  3.2e-02 
 3.3e-09  3.2e-02 
 3.4e-09  3.2e-02 
 3.4e-09  3.2e-02 
 3.4e-09  3.2e-02 
 3.4e-09  3.2e-02 
 3.4e-09  3.2e-02 
 3.4e-09  3.2e-02 
 3.4e-09  3.2e-02 
 3.4e-09  3.2e-02 
 3.4e-09  3.2e-02 
 3.4e-09  3.2e-02 
 3.5e-09  3.2e-02 
 3.5e-09  3.2e-02 
 3.5e-09  3.2e-02 
 3.5e-09  3.2e-02 
 3.5e-09  3.2e-02 
 3.5e-09  3.2e-02 
 3.5e-09  3.2e-02 
 3.5e-09  3.2e-02 
 3.5e-09  3.2e-02 
 3.5e-09  3.2e-02 
 3.6e-09  3.2e-02 
 3.6e-09  3.2e-02 
 3.6e-09  3.2e-02 
 3.6e-09  3.2e-02 
 3.6e-09  3.2e-02 
 3.6e-09  3.2e-02 
 3.6e-09  3.2e-02 
 3.6e-09  3.2e-02 
 3.6e-09  3.2e-02 
 3.6e-09  3.2e-02 
 3.7e-09  3.2e-02 
 3.7e-09  3.2e-02 
 3.7e-09  3.2e-02 
 3.7e-09  3.2e-02 
 3.7e-09  3.2e-02 
 3.7e-09  3.2e-02 
 3.7e-09  3.2e-02 
 3.7e-09  3.2e-02 
 3.7e-09  3.2e-02 
 3.7e-09  3.2e-02 
 3.8e-09  3.2e-02 
 3.8e-09  3.2e-02 
 3.8e-09  3.2e-02 
 3.8e-09  3.2e-02 
 3.8e-09  3.2e-02 
 3.8e-09  3.2e-02 
 3.8e-09  3.2e-02 
 3.8e-09  3.2e-02 
 3.8e-09  3.2e-02 
 3.8e-09  3.2e-02 
 3.9e-09  3.2e-02 
 3.9e-09  3.2e-02 
 3.9e-09  3.2e-02 
 3.9e-09  3.2e-02 
 3.9e-09  3.2e-02 
 3.9e-09  3.2e-02 
 3.9e-09  3.2e-02 
 3.9e-09  3.2e-02 
 3.9e-09  3.2e-02 
 3.9e-09  3.2e-02 
 4.0e-09  3.2e-02 
 4.0e-09  3.2e-02 
 4.0e-09  3.2e-02 
 4.0e-09  3.2e-02 
 4.0e-09  3.2e-02 
 4.0e-09  3.2e-02 
 4.0e-09  3.2e-02 
 4.0e-09  3.2e-02 
 4.0e-09  3.2e-02 
 4.0e-09  3.2e-02 
 4.1e-09  3.2e-02 
 4.1e-09  3.2e-02 
 4.1e-09  3.2e-02 
 4.1e-09  3.2e-02 
 4.1e-09  3.2e-02 
 4.1e-09  3.2e-02 
 4.1e-09  3.2e-02 
 4.1e-09  3.2e-02 
 4.1e-09  3.2e-02 
 4.1e-09  3.2e-02 
 4.2e-09  3.2e-02 
 4.2e-09  3.2e-02 
 4.2e-09  3.2e-02 
 4.2e-09  3.2e-02 
 4.2e-09  3.2e-02 
 4.2e-09  3.2e-02 
 4.2e-09  3.2e-02 
 4.2e-09  3.2e-02 
 4.2e-09  3.2e-02 
 4.2e-09  3.2e-02 
 4.3e-09  3.2e-02 
 4.3e-09  3.2e-02 
 4.3e-09  3.2e-02 
 4.3e-09  3.2e-02 
 4.3e-09  3.2e-02 
 4.3e-09  3.2e-02 
 4.3e-09  3.2e-02 
 4.3e-09  3.2e-02 
 4.3e-09  3.2e-02 
 4.3e-09  3.2e-02 
 4.4e-09  3.2e-02 
 4.4e-09  3.2e-02 
 4.4e-09  3.2e-02 
 4.4e-09  3.2e-02 
 4.4e-09  3.2e-02 
 4.4e-09  3.2e-02 
 4.4e-09  3.2e-02 
 4.4e-09  3.2e-02 
 4.4e-09  3.2e-02 
 4.4e-09  3.2e-02 
 4.5e-09  3.2e-02 
 4.5e-09  3.2e-02 
 4.5e-09  3.2e-02 
 4.5e-09  3.2e-02 
 4.5e-09  3.2e-02 
 4.5e-09  3.2e-02 
 4.5e-09  3.2e-02 
 4.5e-09  3.2e-02 
 4.5e-09  3.2e-02 
 4.5e-09  3.2e-02 
 4.6e-09  3.2e-02 
 4.6e-09  3.2e-02 
 4.6e-09  3.2e-02 
 4.6e-09  3.2e-02 
 4.6e-09  3.2e-02 
 4.6e-09  3.2e-02 
 4.6e-09  3.2e-02 
 4.6e-09  3.2e-02 
 4.6e-09  3.2e-02 
 4.6e-09  3.2e-02 
 4.7e-09  3.2e-02 
 4.7e-09  3.2e-02 
 4.7e-09  3.2e-02 
 4.7e-09  3.2e-02 
 4.7e-09  3.2e-02 
 4.7e-09  3.2e-02 
 4.7e-09  3.2e-02 
 4.7e-09  3.2e-02 
 4.7e-09  3.2e-02 
 4.7e-09  3.2e-02 
 4.8e-09  3.2e-02 
 4.8e-09  3.2e-02 
 4.8e-09  3.2e-02 
 4.8e-09  3.2e-02 
 4.8e-09  3.2e-02 
 4.8e-09  3.2e-02 
 4.8e-09  3.2e-02 
 4.8e-09  3.2e-02 
 4.8e-09  3.2e-02 
 4.8e-09  3.2e-02 
 4.9e-09  3.2e-02 
 4.9e-09  3.2e-02 
 4.9e-09  3.2e-02 
 4.9e-09  3.2e-02 
 4.9e-09  3.2e-02 
 4.9e-09  3.2e-02 
 4.9e-09  3.2e-02 
 4.9e-09  3.2e-02 
