 time       v(/signal_in) v(/rect_out)
 2.370e-04 -1.495e+00 -2.197e-09 
 2.380e-04 -1.496e+00 -2.212e-09 
 2.390e-04 -1.496e+00 -2.227e-09 
 2.400e-04 -1.497e+00 -2.242e-09 
 2.410e-04 -1.498e+00 -2.256e-09 
 2.420e-04 -1.498e+00 -2.271e-09 
 2.430e-04 -1.499e+00 -2.286e-09 
 2.440e-04 -1.499e+00 -2.301e-09 
 2.450e-04 -1.499e+00 -2.316e-09 
 2.460e-04 -1.500e+00 -2.331e-09 
 2.470e-04 -1.500e+00 -2.346e-09 
 2.480e-04 -1.500e+00 -2.360e-09 
 2.490e-04 -1.500e+00 -2.375e-09 
 2.500e-04 -1.500e+00 -2.390e-09 
 2.510e-04 -1.500e+00 -2.405e-09 
 2.520e-04 -1.500e+00 -2.420e-09 
 2.530e-04 -1.500e+00 -2.435e-09 
 2.540e-04 -1.500e+00 -2.450e-09 
 2.550e-04 -1.499e+00 -2.464e-09 
 2.560e-04 -1.499e+00 -2.479e-09 
 2.570e-04 -1.499e+00 -2.494e-09 
 2.580e-04 -1.498e+00 -2.509e-09 
 2.590e-04 -1.498e+00 -2.524e-09 
 2.600e-04 -1.497e+00 -2.539e-09 
 2.610e-04 -1.496e+00 -2.553e-09 
 2.620e-04 -1.496e+00 -2.568e-09 
 2.630e-04 -1.495e+00 -2.583e-09 
 2.640e-04 -1.494e+00 -2.598e-09 
 2.650e-04 -1.493e+00 -2.613e-09 
 2.660e-04 -1.492e+00 -2.627e-09 
 2.670e-04 -1.491e+00 -2.642e-09 
 2.680e-04 -1.490e+00 -2.657e-09 
 2.690e-04 -1.489e+00 -2.672e-09 
 2.700e-04 -1.488e+00 -2.686e-09 
 2.710e-04 -1.487e+00 -2.701e-09 
 2.720e-04 -1.486e+00 -2.716e-09 
 2.730e-04 -1.484e+00 -2.730e-09 
 2.740e-04 -1.483e+00 -2.745e-09 
 2.750e-04 -1.482e+00 -2.760e-09 
 2.760e-04 -1.480e+00 -2.774e-09 
 2.770e-04 -1.478e+00 -2.789e-09 
 2.780e-04 -1.477e+00 -2.804e-09 
 2.790e-04 -1.475e+00 -2.818e-09 
 2.800e-04 -1.473e+00 -2.833e-09 
 2.810e-04 -1.472e+00 -2.847e-09 
 2.820e-04 -1.470e+00 -2.862e-09 
 2.830e-04 -1.468e+00 -2.876e-09 
 2.840e-04 -1.466e+00 -2.891e-09 
 2.850e-04 -1.464e+00 -2.905e-09 
 2.860e-04 -1.462e+00 -2.920e-09 
 2.870e-04 -1.460e+00 -2.934e-09 
 2.880e-04 -1.457e+00 -2.948e-09 
 2.890e-04 -1.455e+00 -2.963e-09 
 2.900e-04 -1.453e+00 -2.977e-09 
 2.910e-04 -1.450e+00 -2.991e-09 
 2.920e-04 -1.448e+00 -3.006e-09 
 2.930e-04 -1.446e+00 -3.020e-09 
 2.940e-04 -1.443e+00 -3.034e-09 
 2.950e-04 -1.440e+00 -3.048e-09 
 2.960e-04 -1.438e+00 -3.063e-09 
 2.970e-04 -1.435e+00 -3.077e-09 
 2.980e-04 -1.432e+00 -3.091e-09 
 2.990e-04 -1.429e+00 -3.105e-09 
 3.000e-04 -1.427e+00 -3.119e-09 
 3.010e-04 -1.424e+00 -3.133e-09 
 3.020e-04 -1.421e+00 -3.147e-09 
 3.030e-04 -1.418e+00 -3.161e-09 
 3.040e-04 -1.414e+00 -3.175e-09 
 3.050e-04 -1.411e+00 -3.189e-09 
 3.060e-04 -1.408e+00 -3.203e-09 
 3.070e-04 -1.405e+00 -3.217e-09 
 3.080e-04 -1.401e+00 -3.231e-09 
 3.090e-04 -1.398e+00 -3.244e-09 
 3.100e-04 -1.395e+00 -3.258e-09 
 3.110e-04 -1.391e+00 -3.272e-09 
 3.120e-04 -1.388e+00 -3.285e-09 
 3.130e-04 -1.384e+00 -3.299e-09 
 3.140e-04 -1.380e+00 -3.313e-09 
 3.150e-04 -1.377e+00 -3.326e-09 
 3.160e-04 -1.373e+00 -3.340e-09 
 3.170e-04 -1.369e+00 -3.353e-09 
 3.180e-04 -1.365e+00 -3.367e-09 
 3.190e-04 -1.361e+00 -3.380e-09 
 3.200e-04 -1.357e+00 -3.393e-09 
 3.210e-04 -1.353e+00 -3.407e-09 
